request count, total data transfered (bytes), response time (sec), average response time (sec)
60, 780, 8.507664, 0.141794
60, 780, 8.961399, 0.149357
60, 780, 9.113605, 0.151893
60, 780, 8.747634, 0.145794
60, 780, 8.186108, 0.136435
60, 780, 8.691525, 0.144859
60, 780, 9.040055, 0.150668
60, 780, 8.982536, 0.149709
60, 780, 9.121976, 0.152033
60, 780, 9.194195, 0.153237
60, 780, 9.165956, 0.152766
60, 780, 8.664217, 0.144404
60, 780, 8.204312, 0.136739
60, 780, 8.286435, 0.138107
60, 780, 8.862605, 0.147710
60, 780, 9.342090, 0.155701
60, 780, 8.511888, 0.141865
60, 780, 8.898998, 0.148317
60, 780, 8.293674, 0.138228
60, 780, 8.270632, 0.137844
60, 780, 8.596733, 0.143279
60, 780, 8.856951, 0.147616
60, 780, 8.806149, 0.146769
60, 780, 9.261366, 0.154356
60, 780, 9.216618, 0.153610
60, 780, 8.629845, 0.143831
60, 780, 8.970157, 0.149503
60, 780, 9.201496, 0.153358
60, 780, 9.345879, 0.155765
60, 780, 8.885651, 0.148094
60, 780, 8.866652, 0.147778
60, 780, 8.886115, 0.148102
60, 780, 9.173791, 0.152897
60, 780, 8.924662, 0.148744
60, 780, 8.361454, 0.139358
60, 780, 9.143310, 0.152388
60, 780, 7.891157, 0.131519
60, 780, 9.138074, 0.152301
60, 780, 8.805017, 0.146750
60, 780, 9.178667, 0.152978
60, 780, 8.939878, 0.148998
60, 780, 8.976588, 0.149610
60, 780, 8.752243, 0.145871
60, 780, 8.862033, 0.147701
60, 780, 8.753006, 0.145883
60, 780, 8.887334, 0.148122
60, 780, 8.889913, 0.148165
60, 780, 9.359647, 0.155994
60, 780, 8.997449, 0.149957
60, 780, 7.942072, 0.132368
60, 780, 8.909004, 0.148483
60, 780, 9.010607, 0.150177
60, 780, 9.225101, 0.153752
60, 780, 8.925652, 0.148761
60, 780, 9.296564, 0.154943
60, 780, 8.647380, 0.144123
60, 780, 8.760858, 0.146014
60, 780, 8.321129, 0.138685
60, 780, 8.959166, 0.149319
60, 780, 8.771243, 0.146187
60, 780, 9.301881, 0.155031
60, 780, 7.584629, 0.126410
60, 780, 8.380520, 0.139675
60, 780, 9.081023, 0.151350
60, 780, 8.699550, 0.144993
60, 780, 9.009191, 0.150153
60, 780, 9.029218, 0.150487
60, 780, 9.502419, 0.158374
60, 780, 8.899146, 0.148319
60, 780, 9.079763, 0.151329
60, 780, 9.296725, 0.154945
